Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Trading Symbol,Formatted Ins Name,Expiry Date,Lot Size,Tick Size
CDS,cde_fo,JPYINR,5291,OPTCUR,PE,63.5,JPYINR,JPYINR16MAY25P63.5,JPYINR 16th MAY 63.5 PE,2025-05-16,1,0.0025
CDS,cde_fo,GBPINR,5292,OPTCUR,CE,108.25,GBPINR,GBPINR27MAR26C108.25,GBPINR 27th MAR26 108.25 CE,2026-03-27,1,0.0025
CDS,cde_fo,GBPINR,5293,OPTCUR,PE,108.25,GBPINR,GBPINR27MAR26P108.25,GBPINR 27th MAR26 108.25 PE,2026-03-27,1,0.0025
CDS,cde_fo,EURINR,5294,OPTCUR,PE,93.75,EURINR,EURINR20JUN25P93.75,EURINR 20th JUN 93.75 PE,2025-06-20,1,0.0025
CDS,cde_fo,EURINR,5295,OPTCUR,CE,94,EURINR,EURINR20JUN25C94,EURINR 20th JUN 94 CE,2025-06-20,1,0.0025
CDS,cde_fo,JPYINR,5297,OPTCUR,CE,63.75,JPYINR,JPYINR16MAY25C63.75,JPYINR 16th MAY 63.75 CE,2025-05-16,1,0.0025
CDS,cde_fo,JPYINR,5299,OPTCUR,PE,63.75,JPYINR,JPYINR16MAY25P63.75,JPYINR 16th MAY 63.75 PE,2025-05-16,1,0.0025
CDS,cde_fo,EURINR,5300,OPTCUR,PE,92.5,EURINR,EURINR28APR25P92.5,EURINR APR 92.5 PE,2025-04-28,1,0.0025
CDS,cde_fo,EURINR,5301,OPTCUR,CE,92.75,EURINR,EURINR28APR25C92.75,EURINR APR 92.75 CE,2025-04-28,1,0.0025
CDS,cde_fo,EURINR,5302,OPTCUR,PE,92.75,EURINR,EURINR28APR25P92.75,EURINR APR 92.75 PE,2025-04-28,1,0.0025
CDS,cde_fo,EURINR,5303,OPTCUR,CE,93,EURINR,EURINR28APR25C93,EURINR APR 93 CE,2025-04-28,1,0.0025
CDS,cde_fo,EURINR,5304,OPTCUR,PE,93,EURINR,EURINR28APR25P93,EURINR APR 93 PE,2025-04-28,1,0.0025
CDS,cde_fo,EURINR,5305,OPTCUR,CE,93.25,EURINR,EURINR28APR25C93.25,EURINR APR 93.25 CE,2025-04-28,1,0.0025
CDS,cde_fo,EURINR,5306,OPTCUR,PE,93.25,EURINR,EURINR28APR25P93.25,EURINR APR 93.25 PE,2025-04-28,1,0.0025
CDS,cde_fo,EURINR,5307,OPTCUR,CE,93.5,EURINR,EURINR28APR25C93.5,EURINR APR 93.5 CE,2025-04-28,1,0.0025
CDS,cde_fo,GBPINR,5308,OPTCUR,PE,104.5,GBPINR,GBPINR17APR25P104.5,GBPINR 17th APR 104.5 PE,2025-04-17,1,0.0025
CDS,cde_fo,GBPINR,5309,OPTCUR,CE,104.75,GBPINR,GBPINR17APR25C104.75,GBPINR 17th APR 104.75 CE,2025-04-17,1,0.0025
CDS,cde_fo,GBPINR,5310,OPTCUR,PE,104.75,GBPINR,GBPINR17APR25P104.75,GBPINR 17th APR 104.75 PE,2025-04-17,1,0.0025
CDS,cde_fo,EURINR,5311,OPTCUR,PE,93.5,EURINR,EURINR28APR25P93.5,EURINR APR 93.5 PE,2025-04-28,1,0.0025
CDS,cde_fo,EURINR,5312,OPTCUR,CE,84.75,EURINR,EURINR02MAY25C84.75,EURINR 2nd MAY 84.75 CE,2025-05-02,1,0.0025
CDS,cde_fo,GBPINR,5313,OPTCUR,CE,105,GBPINR,GBPINR17APR25C105,GBPINR 17th APR 105 CE,2025-04-17,1,0.0025
CDS,cde_fo,GBPINR,5314,OPTCUR,CE,108.5,GBPINR,GBPINR27MAR26C108.5,GBPINR 27th MAR26 108.5 CE,2026-03-27,1,0.0025
CDS,cde_fo,GBPINR,5315,OPTCUR,PE,108.5,GBPINR,GBPINR27MAR26P108.5,GBPINR 27th MAR26 108.5 PE,2026-03-27,1,0.0025
CDS,cde_fo,JPYINR,5316,OPTCUR,CE,58.25,JPYINR,JPYINR09MAY25C58.25,JPYINR 9th MAY 58.25 CE,2025-05-09,1,0.0025
CDS,cde_fo,JPYINR,5317,OPTCUR,PE,58.25,JPYINR,JPYINR09MAY25P58.25,JPYINR 9th MAY 58.25 PE,2025-05-09,1,0.0025
CDS,cde_fo,GBPINR,5318,OPTCUR,PE,104.25,GBPINR,GBPINR28MAY25P104.25,GBPINR MAY 104.25 PE,2025-05-28,1,0.0025
CDS,cde_fo,GBPINR,5319,OPTCUR,CE,104.5,GBPINR,GBPINR28MAY25C104.5,GBPINR MAY 104.5 CE,2025-05-28,1,0.0025
CDS,cde_fo,GBPINR,5320,OPTCUR,PE,104.5,GBPINR,GBPINR28MAY25P104.5,GBPINR MAY 104.5 PE,2025-05-28,1,0.0025
