Exch,Exchange Segment,Symbol,Token,Instrument Type,Instrument Name,Formatted Ins Name,Lot Size,Tick Size,Trading Symbol
BSE,bse_cm,KSHITIJPOL,209192,E,KSHITIJ POLYLINE LIMITED,KSHITIJPOL,1,0.01,KSHITIJPOL
BSE,bse_cm,IPSL,209236,E,INTEGRATED PERSO SER LTD,IPSL,500,0.05,IPSL
BSE,bse_cm,RITEZONE,209237,E,RITE ZONE CHEMCON IND LTD,RITEZONE,1600,0.05,RITEZONE
BSE,bse_cm,VITAL,209238,E,VITAL CHEMTECH LIMITED,VITAL,1200,0.05,VITAL
BSE,bse_cm,AMIABLE,209239,E,AMIABLE LOGISTICS (I) LTD,AMIABLE,1600,0.05,AMIABLE
BSE,bse_cm,RAJMET,209275,E,RAJNANDINI METAL LIMITED,RAJMET,1,0.01,RAJMET
BSE,bse_cm,BAHETI,209291,E,BAHETI RECYCLING IND LTD,BAHETI,375,0.05,BAHETI
BSE,bse_cm,ARHAM,209299,E,ARHAM TECHNOLOGIES LTD,ARHAM,1000,0.05,ARHAM
BSE,bse_cm,ALLETEC,209328,E,ALL E TECHNOLOGIES LTD,ALLETEC,400,0.05,ALLETEC
BSE,bse_cm,DOLLEX,209344,E,DOLLEX AGROTECH LIMITED,DOLLEX,4000,0.05,DOLLEX
BSE,bse_cm,UMA,209345,E,UMA CONVERTER LIMITED,UMA,4000,0.05,UMA
BSE,bse_cm,ARIHANTACA,209347,E,ARIHANT ACADEMY LIMITED,ARIHANTACA,800,0.05,ARIHANTACA
BSE,bse_cm,MOXSH,209353,E,MOXSH OVERSEAS EDUCON LTD,MOXSH,3200,0.05,MOXSH
BSE,bse_cm,HOMESFY,209367,E,HOMESFY REALTY LIMITED,HOMESFY,300,0.05,HOMESFY
BSE,bse_cm,ANLON,209379,E,ANLON TECHNOLOGY SOL LTD,ANLON,400,0.05,ANLON
BSE,bse_cm,CMNL,209390,E,CHAMAN METALLICS LIMITED,CMNL,1500,0.05,CMNL
BSE,bse_cm,DUCOL,209397,E,DUCOL ORGS AND COLOURS LT,DUCOL,800,0.05,DUCOL
BSE,bse_cm,GOLDSTAR,209403,E,GOLDSTAR POWER LIMITED,GOLDSTAR,11250,0.05,GOLDSTAR
BSE,bse_cm,GVPTECH,209405,E,GVP INFOTECH LIMITED,GVPTECH,1,0.01,GVPTECH
BSE,bse_cm,ARISTO,209425,E,ARISTO BIO T AND LIFESC L,ARISTO,1600,0.05,ARISTO
BSE,bse_cm,GRCL,209456,E,GAYATRI RUBB AND CHEM LTD,GRCL,250,0.05,GRCL
BSE,bse_cm,VCL,209472,E,VAXTEX COTFAB LIMITED,VCL,1,0.01,VCL
BSE,bse_cm,ACCURACY,209473,E,ACCURACY SHIPPING LIMITED,ACCURACY,1,0.01,ACCURACY
BSE,bse_cm,SHERA,209484,E,SHERA ENERGY LIMITED,SHERA,1000,0.05,SHERA
BSE,bse_cm,LRRPL,209492,E,LEAD REC AND RUB PROD LTD,LRRPL,1500,0.05,LRRPL
BSE,bse_cm,VIAZ,209508,E,VIAZ TYRES LIMITED,VIAZ,2000,0.05,VIAZ
BSE,bse_cm,SRIVASAVI,209532,E,SRIVASAVI ADHESIVE TAPE L,SRIVASAVI,1000,0.05,SRIVASAVI
BSE,bse_cm,OSIAHYPER,209547,E,OSIA HYPER RETAIL LIMITED,OSIAHYPER,1,0.01,OSIAHYPER
BSE,bse_cm,VERTEXPLUS,209553,E,VERTEXPLUS TECHNOLOGIES L,VERTEXPLUS,600,0.05,VERTEXPLUS
BSE,bse_cm,SYSTANGO,209554,E,SYSTANGO TECHNOLOGIES LTD,SYSTANGO,400,0.05,SYSTANGO
BSE,bse_cm,MCON,209598,E,MCON RASAYAN INDIA LTD,MCON,1000,0.05,MCON
BSE,bse_cm,QFIL,209601,E,QUALITY FOILS (INDIA) LTD,QFIL,1000,0.05,QFIL
BSE,bse_cm,NIRMAN,209622,E,NIRMAN AGRI GENTICS LTD,NIRMAN,300,0.05,NIRMAN
BSE,bse_cm,SOTAC,209842,E,SOTAC PHARMACEUTICALS LTD,SOTAC,1200,0.05,SOTAC
